C1_1,C1_2,C1_3,C1_4,C2_1,C2_2,C2_3,C2_4,C3_1,C3_2,C3_3,C3_4
0.055,-0.678,-0.616,0.124,-0.57,-0.213,-0.469,-0.68,-0.729,-0.344,-1.519,-1.707
1.08,1.094,1.561,0.152,0.24,-0.305,0.095,0.2,-0.736,-1.775,-0.988,-1.306
0.158,-0.401,0.297,-0.746,0.262,-1.107,-0.734,-0.631,-0.145,-0.874,0.301,0.138
-1.287,-0.107,0.68,-1.135,-1.225,-2.545,-0.47,-0.803,-1.112,-0.801,-0.088,-1.221
-0.321,0.225,0.138,-0.672,-0.4,-0.02,0.66,0.014,-0.553,0.176,0.323,0.099
0.073,0.504,-0.465,0.635,0.278,1.058,-0.28,-0.403,-0.017,0.569,-0.421,-1.046
-0.238,0.468,0.237,0.547,-0.035,0.336,-0.253,0.767,0.698,0.263,-0.702,-0.209
-0.044,0.357,-0.335,0.46,1.012,0.179,0.754,-0.018,0.765,0.728,0.696,0.653
0.216,0.345,0.038,-0.37,0.654,0.691,0.536,-0.697,0.102,-0.181,0.39,0.267
2.233,1.353,2.437,0.515,1.093,0.273,0.247,1.885,0.701,0.526,0.381,0.673
-0.942,-0.167,0.046,-0.29,-0.037,-0.34,-0.216,1.034,-1.012,-0.998,-1.123,-1.368
-0.422,-0.458,-0.769,-0.635,0.414,-0.403,-0.293,-0.661,-1.005,-1.893,-1.154,-1.038
-0.91,0.396,-1.168,-0.405,0.653,-0.329,-0.768,-1.221,-1.65,0.509,-0.81,-0.539
0.376,1.279,0.48,0.831,-1.115,-0.667,-0.933,-1.255,-0.528,0.798,-0.476,-1.08
1.411,1.096,0.178,0.95,-0.733,-0.58,-1.53,-0.915,1.028,1.902,1.419,0.366
0.145,-0.473,-0.455,0.291,-0.579,-0.663,-0.237,-1.127,-1.229,-0.609,-0.349,-0.14
-0.112,-1.228,-0.459,-0.541,-1.421,-1.328,-0.247,-1.529,-0.097,0.779,0.454,0.233
-0.77,-0.064,0.017,-0.378,0.225,0.535,-0.074,0.348,-0.96,-0.165,-0.319,-0.562
0.24,0.652,0.823,0.155,-0.533,0.357,-0.272,-0.251,-0.948,-0.572,-1.399,-0.836
0.531,0.835,-0.703,0.49,0.065,-0.579,-1.397,-0.794,-0.059,0.103,-0.789,-0.449
0.571,-0.438,0.575,0.522,0.799,0.65,0.433,1.475,-0.311,0.147,0.631,0.285
-0.486,-0.069,-0.46,-0.109,-1.207,0.247,-0.592,0.526,0.873,1.661,0.56,0.753
-0.291,0.413,0.402,-0.016,-0.305,0.51,-0.003,0.708,-0.464,-0.08,-1.575,-1.007
0.14,-0.462,0.976,0.352,-1.214,0.071,-0.241,-0.837,1.005,0.659,-0.586,-0.053
0.289,-0.061,-0.971,0.038,-0.308,-0.322,1.01,-0.162,-1.107,-1.537,-0.562,-0.48
1.874,0.829,0.328,0.621,-0.626,0.295,-1.092,-0.178,0.352,0.776,0.712,1.374
1.035,0.205,0.493,0.589,0.69,-0.121,-0.642,-1.025,0.557,-0.013,0.196,0.068
0.193,0.397,-0.361,-0.467,1.37,0.944,0.908,0.909,0.09,-0.483,0.853,-1.064
-0.072,0.002,0.862,-0.596,-1.782,-0.446,-0.326,-1.479,0.023,0.61,-1.747,-1.123
-0.413,0.105,0.419,-0.516,0.587,0.213,-0.286,1.299,-0.351,0.575,-0.086,-0.749
0.271,0.581,0.939,-0.674,0.185,-0.139,0.474,0.276,0.868,1.212,1.354,0.24
-1.097,-0.43,-1.407,-1.476,-1.027,-1.076,0.191,-0.063,-1.306,-0.637,-1.362,-0.994
0.271,-1.539,0.208,0.125,-1.147,-0.923,-2.023,-1.718,-1.231,-0.449,-1.305,-1.162
-0.728,-0.495,0.235,-0.509,0.203,-0.891,-0.778,0.203,-1.167,-0.998,-1.374,-1.186
-0.837,-0.423,-0.351,-0.399,-0.761,-0.237,-0.78,-0.43,-0.695,-0.01,-0.611,0.406
-1.2,-0.072,-0.077,0.33,0.592,-0.184,-0.194,-0.319,0.408,0.505,0.836,0.763
1.198,1.01,1.27,1.83,-0.069,1.026,0.86,0.526,0.842,0.695,1.263,0.07
-1.214,-1.571,-1.124,-0.71,1.009,-0.299,1.043,1.552,-0.234,-0.034,0.967,0.172
0.585,0.939,0.645,1.432,1.291,-0.318,-0.889,-0.063,-0.047,-0.27,0.198,-0.35
